id,title,release_date,release_year,runtime,budget,revenue,vote_average,vote_count,popularity,genres,profit,roi,primary_genre,era
333371,10 Cloverfield Lane,2016-03-10,2016,104,15000000,110216998,6.994,8389,7.8904,"['Thriller', 'Science Fiction', 'Drama', 'Horror']",95216998,6.347799866666667,Thriller,pre_covid
293767,Billy Lynn's Long Halftime Walk,2016-11-10,2016,113,40000000,30930984,6.018,606,7.7785,"['Drama', 'War']",-9069016,-0.2267254,Drama,pre_covid
302699,Central Intelligence,2016-06-15,2016,107,50000000,216972543,6.416,6190,7.6445,"['Action', 'Comedy']",166972543,3.33945086,Action,pre_covid
188927,Star Trek Beyond,2016-07-07,2016,122,185000000,343471816,6.783,6900,7.5398,"['Action', 'Adventure', 'Science Fiction']",158471816,0.8566044108108108,Action,pre_covid
290595,The Huntsman: Winter's War,2016-04-06,2016,114,115000000,164989338,6.284,4948,7.5335,"['Action', 'Adventure', 'Drama']",49989338,0.4346898956521739,Action,pre_covid
302156,Criminal,2016-04-07,2016,113,31500000,14708696,6.21,1821,7.4522,"['Action', 'Crime', 'Science Fiction']",-16791304,-0.5330572698412699,Action,pre_covid
136799,Trolls,2016-10-13,2016,92,125000000,347337803,6.631,3732,7.3427,"['Family', 'Animation', 'Fantasy', 'Adventure', 'Comedy', 'Music']",222337803,1.778702424,Family,pre_covid
140300,Kung Fu Panda 3,2016-01-23,2016,95,145000000,521170825,6.921,6380,7.2899,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family']",376170825,2.594281551724138,Animation,pre_covid
241259,Alice Through the Looking Glass,2016-05-25,2016,113,170000000,299457024,6.56,6644,7.2865,"['Adventure', 'Family', 'Fantasy']",129457024,0.761511905882353,Adventure,pre_covid
291870,Dirty Grandpa,2016-01-20,2016,102,11500000,94100000,5.935,4510,7.23,['Comedy'],82600000,7.182608695652174,Comedy,pre_covid
258489,The Legend of Tarzan,2016-06-29,2016,109,180000000,356743061,5.915,6383,7.1642,"['Fantasy', 'Action', 'Adventure']",176743061,0.9819058944444444,Fantasy,pre_covid
302946,The Accountant,2016-10-13,2016,128,44000000,155160045,7.131,7083,7.0562,"['Crime', 'Thriller', 'Drama']",111160045,2.526364659090909,Crime,pre_covid
283366,Miss Peregrine's Home for Peculiar Children,2016-09-27,2016,127,110000000,296482446,6.837,10308,6.9361,"['Fantasy', 'Adventure', 'Drama', 'Family']",186482446,1.6952949636363637,Fantasy,pre_covid
330459,Rogue One: A Star Wars Story,2016-12-14,2016,133,200000000,1056057273,7.503,16009,6.9142,"['Action', 'Adventure', 'Science Fiction']",856057273,4.280286365,Action,pre_covid
343611,Jack Reacher: Never Go Back,2016-10-19,2016,118,60000000,162100000,5.998,5161,6.9017,"['Action', 'Drama', 'Thriller', 'Crime']",102100000,1.7016666666666667,Action,pre_covid
374440,Spa Night,2016-08-19,2016,96,67000,38578,5.581,31,6.7838,['Drama'],-28422,-0.4242089552238806,Drama,pre_covid
360814,Dangal,2016-12-21,2016,161,10400000,311000000,7.894,1085,6.7353,"['Drama', 'Family', 'Comedy']",300600000,28.903846153846153,Drama,pre_covid
262504,Allegiant,2016-03-09,2016,120,110000000,179246868,6.107,6827,6.6521,"['Adventure', 'Science Fiction', 'Action', 'Mystery']",69246868,0.6295169818181818,Adventure,pre_covid
311324,The Great Wall,2016-12-16,2016,103,150000000,331957105,6.032,5401,6.6366,"['Action', 'Adventure', 'Fantasy']",181957105,1.2130473666666666,Action,pre_covid
267860,London Has Fallen,2016-03-02,2016,99,60000000,205754447,6.2,4963,6.6323,"['Action', 'Thriller']",145754447,2.4292407833333334,Action,pre_covid
290250,The Nice Guys,2016-05-15,2016,116,50000000,71261763,7.122,8358,6.5826,"['Comedy', 'Crime', 'Action']",21261763,0.42523526,Comedy,pre_covid
324668,Jason Bourne,2016-07-27,2016,123,120000000,415484914,6.4,6013,6.5554,"['Action', 'Adventure', 'Thriller']",295484914,2.4623742833333333,Action,pre_covid
340945,USS Indianapolis: Men of Courage,2016-09-22,2016,128,40000000,2158568,5.875,638,6.5525,"['Action', 'War']",-37841432,-0.9460358,Action,pre_covid
363579,The Age of Shadows,2016-09-07,2016,140,9620000,53165427,7.2,354,6.5306,"['Action', 'Thriller']",43545427,4.526551663201663,Action,pre_covid
302688,My Big Fat Greek Wedding 2,2016-03-23,2016,94,18000000,90632641,5.981,1052,6.5245,"['Comedy', 'Romance']",72632641,4.035146722222223,Comedy,pre_covid
346364,It,2017-09-06,2017,135,35000000,704242888,7.238,19886,62.0221,"['Horror', 'Thriller']",669242888,19.121225371428572,Horror,pre_covid
315635,Spider-Man: Homecoming,2017-07-05,2017,133,175000000,880166924,7.329,22664,25.5119,"['Action', 'Adventure', 'Science Fiction']",705166924,4.02952528,Action,pre_covid
141052,Justice League,2017-11-15,2017,120,300000000,661326987,6.074,13410,21.1231,"['Action', 'Adventure', 'Science Fiction']",361326987,1.20442329,Action,pre_covid
283995,Guardians of the Galaxy Vol. 2,2017-04-19,2017,137,200000000,863756051,7.611,22446,17.1845,"['Science Fiction', 'Adventure', 'Action']",663756051,3.318780255,Science Fiction,pre_covid
354912,Coco,2017-10-27,2017,105,175000000,814641172,8.2,20484,17.1683,"['Family', 'Animation', 'Music', 'Adventure']",639641172,3.6550924114285714,Family,pre_covid
297762,Wonder Woman,2017-05-30,2017,141,149000000,823970682,7.213,20571,16.5754,"['Action', 'Adventure', 'Fantasy']",674970682,4.530004577181208,Action,pre_covid
335984,Blade Runner 2049,2017-10-04,2017,164,150000000,259239658,7.6,14591,16.1057,"['Science Fiction', 'Drama']",109239658,0.7282643866666667,Science Fiction,pre_covid
